time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-16T06:13:46.000Z,35.0163,-97.6389,6.203,2.4,ml,,46,,0.42,us,us2000818b,2017-03-16T02:31:23.040Z,"13km S of Blanchard, Oklahoma",earthquake,1.5,2.2,,,reviewed,tul,tul
2016-12-15T08:06:33.300Z,35.0199,-97.6421,5,2.6,ml,,52,,0.35,us,us200080z5,2017-03-09T02:14:31.040Z,"13km S of Blanchard, Oklahoma",earthquake,2,6.9,,,reviewed,tul,tul
2016-12-14T22:38:11.100Z,35.0203,-97.6429,3.899,2.5,ml,,61,,0.89,us,us200080uf,2017-03-09T02:14:31.040Z,"13km S of Blanchard, Oklahoma",earthquake,1.7,7.3,,,reviewed,tul,tul
2016-12-11T10:11:31.370Z,35.6274,-98.0988,5,2.4,mb_lg,,82,0.108,0.76,us,us20007zxw,2017-03-09T02:14:27.040Z,"15km SW of Okarche, Oklahoma",earthquake,1.6,2,0.161,10,reviewed,us,us
2016-12-01T05:16:27.700Z,35.0233,-97.8683,6.072,2.7,ml,,73,,0.29,us,us10007dz8,2017-02-23T00:11:55.040Z,"7km ESE of Chickasha, Oklahoma",earthquake,1.8,5.1,,,reviewed,tul,tul
2016-11-11T08:54:43.400Z,35.5734,-98.1395,6.362,3.4,ml,,67,,0.31,us,us100076u6,2017-02-09T03:02:18.040Z,"17km WNW of El Reno, Oklahoma",earthquake,2.1,7.1,,,reviewed,tul,tul
2016-11-11T04:46:31.400Z,35.5788,-98.1347,3.725,2.7,ml,,66,,0.66,us,us100076sw,2017-02-09T03:02:18.040Z,"17km WNW of El Reno, Oklahoma",earthquake,1.6,7.2,,,reviewed,tul,tul
2016-11-11T04:22:43.400Z,35.5757,-98.1345,3.704,2.9,ml,,66,,0.82,us,us100076sr,2017-02-09T03:02:18.040Z,"16km WNW of El Reno, Oklahoma",earthquake,1.9,7.6,,,reviewed,tul,tul
2016-11-02T00:20:59.900Z,35.5673,-98.1261,3.687,3.3,ml,,67,,0.39,us,us100073l5,2017-01-24T02:02:14.040Z,"15km WNW of El Reno, Oklahoma",earthquake,1.8,7.3,,,reviewed,tul,tul
2016-11-02T00:10:05.500Z,35.5692,-98.1286,4.705,3.1,ml,,67,,0.35,us,us100073l4,2017-01-24T02:02:14.040Z,"16km WNW of El Reno, Oklahoma",earthquake,1.5,6.4,,,reviewed,tul,tul
2016-10-27T03:20:26.100Z,35.0947,-97.746,2.896,2.8,ml,,79,,0.37,us,us1000729q,2017-01-20T00:31:08.040Z,"9km WSW of Blanchard, Oklahoma",earthquake,2,3.9,,,reviewed,tul,tul
2016-10-05T17:02:33.200Z,35.0257,-97.8578,5.492,2.2,ml,,140,,0.46,us,us10006wg4,2017-01-03T21:10:45.040Z,"7km ESE of Chickasha, Oklahoma",earthquake,1.3,4,,,reviewed,tul,tul
2016-09-22T12:37:00.020Z,32.8484,-96.9128,8.24,2.4,mb_lg,,74,0.051,0.31,us,us10006rrj,2016-12-12T23:01:36.040Z,"5km NE of Irving, Texas",earthquake,1.8,1.9,0.18,8,reviewed,us,us
2016-09-13T12:16:24.700Z,35.0015,-97.8779,4.564,2.9,ml,,88,,0.47,us,us10006p8w,2016-12-07T02:56:14.040Z,"7km SE of Chickasha, Oklahoma",earthquake,1.7,6.5,,,reviewed,tul,tul
2016-09-12T22:30:52.800Z,35.0243,-97.8758,4.424,2.4,ml,,99,,0.5,us,us10006p5i,2016-12-07T02:56:13.040Z,"6km ESE of Chickasha, Oklahoma",earthquake,0.9,4.6,,,reviewed,tul,tul
2016-09-11T16:24:10.800Z,35.0036,-97.8816,8.546,2.5,ml,,76,,0.33,us,us10006nva,2016-12-07T02:56:11.040Z,"7km SE of Chickasha, Oklahoma",earthquake,1.5,6.6,,,reviewed,tul,tul
2016-08-19T22:22:13.990Z,35.4677,-97.8472,5,2.7,mb_lg,,58,0.191,0.6,us,us10006fau,2016-11-19T04:58:31.040Z,"8km WSW of Yukon, Oklahoma",earthquake,1.3,2,0.154,11,reviewed,us,us
2016-08-08T21:57:11.300Z,35.4603,-97.9105,6.268,2.4,ml,,61,,0.31,us,us10006c67,2016-10-26T03:10:23.040Z,"8km SSE of El Reno, Oklahoma",earthquake,0.8,4,,,reviewed,tul,tul
2016-07-31T17:26:30.890Z,35.0752,-97.572,5.83,3.1,mb_lg,,59,0.229,0.67,us,us1000690r,2016-10-19T04:51:59.040Z,"10km SE of Blanchard, Oklahoma",earthquake,1.9,1.3,0.057,81,reviewed,us,us
2016-07-12T02:08:19.500Z,35.0597,-97.6095,4.105,2.8,ml,,58,,0.54,us,us100062t7,2016-09-08T01:50:28.040Z,"9km SSE of Blanchard, Oklahoma",earthquake,3.4,5.6,,,reviewed,tul,tul
2016-07-10T17:38:01.000Z,35.0556,-97.61,4.283,2.7,ml,,58,,0.59,us,us100062f1,2016-09-08T01:50:26.040Z,"10km SSE of Blanchard, Oklahoma",earthquake,1.9,7.3,,,reviewed,tul,tul
2016-07-10T06:59:12.200Z,35.0579,-97.6095,5,2.4,ml,,98,,0.62,us,us100062c5,2016-09-08T01:50:26.040Z,"9km SSE of Blanchard, Oklahoma",earthquake,1.9,7.7,,,reviewed,tul,tul
2016-07-08T19:06:18.400Z,35.059,-97.6064,5.875,3.4,ml,,58,,1,us,us1000620c,2016-09-08T01:50:23.040Z,"9km SSE of Blanchard, Oklahoma",earthquake,2.1,6.1,,,reviewed,tul,tul
